Event;Start Date;End Date;Duration;Day of Week;Duration Bins;Year;Month;;
Reserva boca;14/4/2023 15:30;14/4/2023 16:30;60.0;Friday;(30, 60];2023;April;;
Controles SOX;14/4/2023 18:00;14/4/2023 19:00;60.0;Friday;(30, 60];2023;April;;
Auditoría IFRS9;19/4/2023 17:00;19/4/2023 18:00;60.0;Wednesday;(30, 60];2023;April;;
Steerco IFRS9 ;19/4/2023 14:00;19/4/2023 15:00;60.0;Wednesday;(30, 60];2023;April;;
Modelo Prepagos;19/4/2023 15:00;19/4/2023 16:00;60.0;Wednesday;(30, 60];2023;April;;
Reunión Informativa Master in Management;2/2/2023 22:00;2/2/2023 23:15;75.0;Thursday;(60, 90];2023;February;;
Modelo Prepagos: tasa de prepagos;20/4/2023 14:00;20/4/2023 14:15;15.0;Thursday;(0, 30];2023;April;;
RETRO VI - COE (Modelos);26/4/2023 19:15;26/4/2023 20:15;60.0;Wednesday;(30, 60];2023;April;;
 Convocatoria RMC 23-03 12:00hs;23/3/2023 12:00;23/3/2023 13:30;90.0;Thursday;(60, 90];2023;March;;
Calibrado comportamental pymes;28/4/2023 17:30;28/4/2023 18:00;30.0;Friday;(0, 30];2023;April;;
Revision con Vicky planificacion 2023;3/5/2023 14:15;3/5/2023 14:45;30.0;Wednesday;(0, 30];2023;May;;
Parametria 2023- Plan de trabajo IFRS9;3/5/2023 15:00;3/5/2023 15:50;50.0;Wednesday;(30, 60];2023;May;;
 AI - Relevamiento VI - Score Proactivo;3/5/2023 18:00;3/5/2023 19:00;60.0;Wednesday;(30, 60];2023;May;;
Envio Rating Empresas (Parte I);4/5/2023 15:00;4/5/2023 16:00;60.0;Thursday;(30, 60];2023;May;;
Replanificacion Parametria;15/5/2023 18:00;15/5/2023 18:50;50.0;Monday;(30, 60];2023;May;;
Capacitación Datio - GRM Lab;9/5/2023 14:00;9/5/2023 16:00;120.0;Tuesday;(90, 120];2023;May;;
Capacitación Datio - GRM Lab;10/5/2023 14:00;10/5/2023 16:00;120.0;Wednesday;(90, 120];2023;May;;
Capacitación Datio - GRM Lab;11/5/2023 14:00;11/5/2023 16:00;120.0;Thursday;(90, 120];2023;May;;
¡Conocé todo de 𝗡𝗨𝗟𝗜𝗡𝗚𝗔!;16/5/2023 18:30;16/5/2023 19:00;30.0;Tuesday;(0, 30];2023;May;;
Steerco IFRS9 ;17/5/2023 14:30;17/5/2023 15:30;60.0;Wednesday;(30, 60];2023;May;;
"Save the Date: Conferencia ""De la regresión lineal al ChatGPT"" (geografías)";30/5/2023 14:00;30/5/2023 15:00;60.0;Tuesday;(30, 60];2023;May;;
Planning IFRS9 + Modelos;18/5/2023 14:00;18/5/2023 15:00;60.0;Thursday;(30, 60];2023;May;;
Recos del proactivo + modelo prepago;19/5/2023 13:30;19/5/2023 14:00;30.0;Friday;(0, 30];2023;May;;
Turno DNI;23/5/2023 21:05;23/5/2023 21:20;15.0;Tuesday;(0, 30];2023;May;;
AWS - Capacitacion ;31/5/2023 15:00;31/5/2023 17:00;120.0;Wednesday;(90, 120];2023;May;;
BBII - IFRS9 2023;2/6/2023 14:00;2/6/2023 15:00;60.0;Friday;(30, 60];2023;June;;
turno faltas lomas;1/6/2023 17:45;1/6/2023 18:45;60.0;Thursday;(30, 60];2023;June;;
BBII IFRS9 - VI;1/6/2023 14:00;1/6/2023 15:00;60.0;Thursday;(30, 60];2023;June;;
Almuerzo Equipo CIR - Piso 33;23/5/2023 16:00;23/5/2023 18:00;120.0;Tuesday;(90, 120];2023;May;;
Kinesiologia ;20/4/2023 09:00;20/4/2023 10:00;60.0;Thursday;(30, 60];2023;April;;
Ver planning y temas equipo;29/5/2023 18:15;29/5/2023 19:00;45.0;Monday;(30, 60];2023;May;;
1° Sincro - Score Proactivo;1/6/2023 15:00;1/6/2023 16:00;60.0;Thursday;(30, 60];2023;June;;
Revisión Modelo Prepago;2/6/2023 15:00;2/6/2023 16:00;60.0;Friday;(30, 60];2023;June;;
Kinesiologia ;18/4/2023 09:00;18/4/2023 10:00;60.0;Tuesday;(30, 60];2023;April;;
Steerco IFRS9 ;7/6/2023 15:00;7/6/2023 16:00;60.0;Wednesday;(30, 60];2023;June;;
Fede;12/6/2023 13:30;12/6/2023 14:10;40.0;Monday;(30, 60];2023;June;;
Revision temas Auditoria Interna;13/6/2023 14:00;13/6/2023 15:00;60.0;Tuesday;(30, 60];2023;June;;
Auditoria Score Proactivo - Tema incluidos por VI en sus revisiones;14/6/2023 18:00;14/6/2023 19:00;60.0;Wednesday;(30, 60];2023;June;;
[Datio Evo] Demo Q2 - 23 - Usuarios Plataforma;28/6/2023 15:00;28/6/2023 16:15;75.0;Wednesday;(60, 90];2023;June;;
NGA Visita Holding: Validación Interna + Auditoría;15/6/2023 20:00;15/6/2023 20:30;30.0;Thursday;(0, 30];2023;June;;
OCUPADO;21/6/2023 17:15;21/6/2023 18:15;60.0;Wednesday;(30, 60];2023;June;;
entrar a soysocio;22/6/2023 16:00;22/6/2023 17:00;60.0;Thursday;(30, 60];2023;June;;
GRMLab Arg;22/6/2023 16:00;22/6/2023 17:00;60.0;Thursday;(30, 60];2023;June;;
Planning;22/6/2023 15:15;22/6/2023 15:45;30.0;Thursday;(0, 30];2023;June;;
[Live stream] Divulgación housekeeping Ficheros con Sauron;22/6/2023 14:00;22/6/2023 14:45;45.0;Thursday;(30, 60];2023;June;;
Temas para el OffSite;23/6/2023 14:00;23/6/2023 14:30;30.0;Friday;(0, 30];2023;June;;
Modelo Prepago;23/6/2023 17:00;23/6/2023 17:15;15.0;Friday;(0, 30];2023;June;;
Evento CIR;29/6/2023 15:00;29/6/2023 19:30;270.0;Thursday;(240, 300];2023;June;;
ocupado;27/6/2023 17:15;27/6/2023 18:45;90.0;Tuesday;(60, 90];2023;June;;
XI Evento de área R&IC | XI R&IC event area;6/7/2023 15:00;6/7/2023 16:30;90.0;Thursday;(60, 90];2023;July;;
2° Sincro - Score Proactivo - CIR y VI;3/7/2023 15:30;3/7/2023 16:30;60.0;Monday;(30, 60];2023;July;;
Revision Informe de Auditoria;4/7/2023 15:00;4/7/2023 15:30;30.0;Tuesday;(0, 30];2023;July;;
turno registro ;12/7/2023 20:30;12/7/2023 21:30;60.0;Wednesday;(30, 60];2023;July;;
Café;11/7/2023 17:30;11/7/2023 18:00;30.0;Tuesday;(0, 30];2023;July;;
turno baja auto;19/7/2023 13:15;19/7/2023 14:15;60.0;Wednesday;(30, 60];2023;July;;
FEDERICO JAVIER / VANESA;14/7/2023 15:15;14/7/2023 15:45;30.0;Friday;(0, 30];2023;July;;
Priorizacion IFRS9;17/7/2023 14:00;17/7/2023 14:30;30.0;Monday;(0, 30];2023;July;;
3° Sincro - Score Proactivo;17/7/2023 15:00;17/7/2023 16:00;60.0;Monday;(30, 60];2023;July;;
Meet con Fede;17/7/2023 18:00;17/7/2023 18:30;30.0;Monday;(0, 30];2023;July;;
Revision PPT p/ SteerCo;19/7/2023 17:15;19/7/2023 17:45;30.0;Wednesday;(0, 30];2023;July;;
Steerco IFRS9 ;20/7/2023 15:30;20/7/2023 16:30;60.0;Thursday;(30, 60];2023;July;;
Revision Observaciones Prepagos;21/7/2023 17:00;21/7/2023 17:30;30.0;Friday;(0, 30];2023;July;;
renovacion registro lomas;26/7/2023 19:00;26/7/2023 20:00;60.0;Wednesday;(30, 60];2023;July;;
ENTREVISTA DATA SCIENTIST MANAGER SOLUTIONS DEVELOPMENT I ;24/7/2023 19:00;24/7/2023 19:25;25.0;Monday;(0, 30];2023;July;;
Desayuno Equipo VI;25/7/2023 12:00;25/7/2023 14:00;120.0;Tuesday;(90, 120];2023;July;;
Sauron - Limpieza de archivo y Formalización de accesos de Sandbox Justificado;25/7/2023 18:00;25/7/2023 19:00;60.0;Tuesday;(30, 60];2023;July;;
Sauron - Limpieza de archivo;26/7/2023 17:00;26/7/2023 18:00;60.0;Wednesday;(30, 60];2023;July;;
practico registro;3/8/2023 18:45;3/8/2023 19:15;30.0;Thursday;(0, 30];2023;August;;
Kick off Validacion Modelos Macro ;31/7/2023 13:30;31/7/2023 14:00;30.0;Monday;(0, 30];2023;July;;
Clases Maestria;13/3/2023 18:30;13/3/2023 22:00;210.0;Monday;(180, 240];2023;March;;
Examen Programacion Python Maestria;17/4/2023 18:30;17/4/2023 22:00;210.0;Monday;(180, 240];2023;April;;
Clase maestria;24/4/2023 18:30;24/4/2023 22:00;210.0;Monday;(180, 240];2023;April;;
Examen Direccion  y gestion ;12/6/2023 18:30;12/6/2023 22:00;210.0;Monday;(180, 240];2023;June;;
Clases Maestria Almacenes de Datos y Procesamiento Analítico en Línea;31/7/2023 18:30;31/7/2023 22:00;210.0;Monday;(180, 240];2023;July;;
Clases Maestria Planeamiento Comercial y Negocios Data-Driven;2/10/2023 18:30;2/10/2023 22:00;210.0;Monday;(180, 240];2023;October;;
Clases Maestria;14/3/2023 18:30;14/3/2023 22:00;210.0;Tuesday;(180, 240];2023;March;;
examen finanzas ;25/4/2023 18:30;25/4/2023 22:00;210.0;Tuesday;(180, 240];2023;April;;
Clases Maestria Gestión de la Innovación Tecnológica;1/8/2023 18:30;1/8/2023 22:00;210.0;Tuesday;(180, 240];2023;August;;
Clases Maestria Fundamentos de Análisis y Minería de Datos;19/9/2023 18:30;19/9/2023 22:00;210.0;Tuesday;(180, 240];2023;September;;
Clases Maestria Seminario de Natural Language Processing;21/11/2023 18:30;21/11/2023 22:00;210.0;Tuesday;(180, 240];2023;November;;
Fede El sauki;1/8/2023 18:00;1/8/2023 18:15;15.0;Tuesday;(0, 30];2023;August;;
[Datio Evo] Demo Q3 Usuarios;23/10/2023 15:00;23/10/2023 16:15;75.0;Monday;(60, 90];2023;October;;
[Save the date] - Review Datio Evo Q3;16/10/2023 14:00;16/10/2023 16:00;120.0;Monday;(90, 120];2023;October;;
[Emisión en directo] [Datio-Evo] Nueva versión Dataproc-SDK;12/9/2023 14:00;12/9/2023 15:30;90.0;Tuesday;(60, 90];2023;September;;
ocupado;4/8/2023 15:30;4/8/2023 16:30;60.0;Friday;(30, 60];2023;August;;
ocupado;7/8/2023 13:30;7/8/2023 14:00;30.0;Monday;(0, 30];2023;August;;
Turno en NUTRICIONISTAS BBVA ;10/8/2023 21:00;10/8/2023 21:30;30.0;Thursday;(0, 30];2023;August;;
The Good Manager - Cercano;7/8/2023 14:45;7/8/2023 15:15;30.0;Monday;(0, 30];2023;August;;
ocupado;7/8/2023 20:00;7/8/2023 21:00;60.0;Monday;(30, 60];2023;August;;
GoTo Webinar - AWS Essentials Latam - Migración a la nube;10/8/2023 15:00;10/8/2023 18:00;180.0;Thursday;(150, 180];2023;August;;
BBVA - EL SAUKI FEDERICO - LIC. RATTO VALERIA;10/8/2023 21:00;10/8/2023 21:30;30.0;Thursday;(0, 30];2023;August;;
Revisión LGD BBII WO;8/8/2023 13:30;8/8/2023 14:00;30.0;Tuesday;(0, 30];2023;August;;
No Event;7/8/2023 17:30;7/8/2023 18:00;30.0;Monday;(0, 30];2023;August;;
Backtesting Depositos ;8/8/2023 18:00;8/8/2023 18:45;45.0;Tuesday;(30, 60];2023;August;;
Ocuopado ;16/8/2023 17:00;16/8/2023 17:30;30.0;Wednesday;(0, 30];2023;August;;
ocupado;14/8/2023 19:45;14/8/2023 21:00;75.0;Monday;(60, 90];2023;August;;
ocupado TN;24/8/2023 19:00;24/8/2023 20:00;60.0;Thursday;(30, 60];2023;August;;
ocupado;18/8/2023 15:00;18/8/2023 16:00;60.0;Friday;(30, 60];2023;August;;
Curso ML Intermedio;6/9/2023 13:00;6/9/2023 16:00;180.0;Wednesday;(150, 180];2023;September;;
Curso ML Intermedio;12/9/2023 13:00;12/9/2023 16:00;180.0;Tuesday;(150, 180];2023;September;;
Curso ML Intermedio;4/10/2023 13:00;4/10/2023 16:00;180.0;Wednesday;(150, 180];2023;October;;
Curso ML Intermedio;18/10/2023 13:00;18/10/2023 16:00;180.0;Wednesday;(150, 180];2023;October;;
Curso ML Intermedio;25/10/2023 13:00;25/10/2023 16:00;180.0;Wednesday;(150, 180];2023;October;;
Curso ML Intermedio;31/10/2023 13:00;31/10/2023 16:00;180.0;Tuesday;(150, 180];2023;October;;
Nulinga - Clase de Recuperación de Inglés;26/8/2023 14:00;26/8/2023 15:00;60.0;Saturday;(30, 60];2023;August;;
Ocupado;28/8/2023 15:00;28/8/2023 16:00;60.0;Monday;(30, 60];2023;August;;
Planning 2024 COE AVAI;24/8/2023 15:30;24/8/2023 16:15;45.0;Thursday;(30, 60];2023;August;;
Punto de Control IFRS9;24/8/2023 14:00;24/8/2023 14:45;45.0;Thursday;(30, 60];2023;August;;
Planning AVAI;10/3/2023 12:00;10/3/2023 13:00;60.0;Friday;(30, 60];2023;March;;
Planning AVAI;13/3/2023 15:00;13/3/2023 16:00;60.0;Monday;(30, 60];2023;March;;
Planning AVAI;14/4/2023 12:00;14/4/2023 13:00;60.0;Friday;(30, 60];2023;April;;
Planning AVAI;12/5/2023 12:00;12/5/2023 13:00;60.0;Friday;(30, 60];2023;May;;
Planning AVAI;9/6/2023 12:00;9/6/2023 13:00;60.0;Friday;(30, 60];2023;June;;
Planning AVAI;18/7/2023 14:15;18/7/2023 15:15;60.0;Tuesday;(30, 60];2023;July;;
Planning AVAI;11/8/2023 12:00;11/8/2023 12:30;30.0;Friday;(0, 30];2023;August;;
Kick Off Ifrs 9 vía CDD;28/8/2023 14:15;28/8/2023 15:15;60.0;Monday;(30, 60];2023;August;;
VI Argentina;4/1/2023 16:00;4/1/2023 17:00;60.0;Wednesday;(30, 60];2023;January;;
VI Argentina;1/2/2023 16:00;1/2/2023 17:00;60.0;Wednesday;(30, 60];2023;February;;
VI Argentina;15/2/2023 16:00;15/2/2023 17:00;60.0;Wednesday;(30, 60];2023;February;;
VI Argentina;15/3/2023 16:00;15/3/2023 17:00;60.0;Wednesday;(30, 60];2023;March;;
VI Argentina;29/3/2023 16:00;29/3/2023 17:00;60.0;Wednesday;(30, 60];2023;March;;
VI Argentina;12/4/2023 16:00;12/4/2023 17:00;60.0;Wednesday;(30, 60];2023;April;;
VI Argentina;26/4/2023 16:00;26/4/2023 17:00;60.0;Wednesday;(30, 60];2023;April;;
VI Argentina;7/6/2023 16:00;7/6/2023 17:00;60.0;Wednesday;(30, 60];2023;June;;
VI Argentina;28/6/2023 16:00;28/6/2023 17:00;60.0;Wednesday;(30, 60];2023;June;;
VI Argentina;19/7/2023 16:00;19/7/2023 17:00;60.0;Wednesday;(30, 60];2023;July;;
VI Argentina;2/8/2023 16:00;2/8/2023 17:00;60.0;Wednesday;(30, 60];2023;August;;
VI Argentina;23/8/2023 16:00;23/8/2023 17:00;60.0;Wednesday;(30, 60];2023;August;;
VI Argentina;15/3/2023 16:00;15/3/2023 17:00;60.0;Wednesday;(30, 60];2023;March;;
Mejores Prácticas;30/8/2023 17:30;30/8/2023 18:30;60.0;Wednesday;(30, 60];2023;August;;
ocupado;1/9/2023 15:00;1/9/2023 17:00;120.0;Friday;(90, 120];2023;September;;
BT Modelo Depositos;30/8/2023 13:15;30/8/2023 13:45;30.0;Wednesday;(0, 30];2023;August;;
People with Values;14/9/2023 14:00;14/9/2023 14:40;40.0;Thursday;(30, 60];2023;September;;
Punto de control IFRS9;31/8/2023 14:45;31/8/2023 15:15;30.0;Thursday;(0, 30];2023;August;;
VI Argentina;6/9/2023 16:00;6/9/2023 17:00;60.0;Wednesday;(30, 60];2023;September;;
Weekly Status COE;29/8/2023 14:00;29/8/2023 14:45;45.0;Tuesday;(30, 60];2023;August;;
Weekly Status COE;29/8/2023 14:00;29/8/2023 14:45;45.0;Tuesday;(30, 60];2023;August;;
Weekly Status COE;5/9/2023 14:00;5/9/2023 14:45;45.0;Tuesday;(30, 60];2023;September;;
Weekly Status COE;5/9/2023 14:30;5/9/2023 15:00;30.0;Tuesday;(0, 30];2023;September;;
VI Argentina;7/9/2023 16:00;7/9/2023 17:00;60.0;Thursday;(30, 60];2023;September;;
Modelo Prepagos - Informe;8/9/2023 15:00;8/9/2023 15:30;30.0;Friday;(0, 30];2023;September;;
Bienvenida Fede;18/9/2023 18:00;18/9/2023 18:45;45.0;Monday;(30, 60];2023;September;;
Modelo Prepagos ;8/9/2023 14:30;8/9/2023 15:00;30.0;Friday;(0, 30];2023;September;;
PD;8/9/2023 18:15;8/9/2023 18:45;30.0;Friday;(0, 30];2023;September;;
Modelo Prepagos - definicion de perimetro;15/9/2023 13:30;15/9/2023 13:45;15.0;Friday;(0, 30];2023;September;;
turno Masajista Oliver 1040;11/9/2023 19:00;11/9/2023 20:00;60.0;Monday;(30, 60];2023;September;;
[Emisión en directo] Sesión Platform Best Practices;27/9/2023 14:00;27/9/2023 16:00;120.0;Wednesday;(90, 120];2023;September;;
[Emisión en directo] Sesión Platform Best Practices;27/9/2023 14:00;27/9/2023 16:00;120.0;Wednesday;(90, 120];2023;September;;
Reserva Confirmada en Centro Naval;14/9/2023 16:00;14/9/2023 18:30;150.0;Thursday;(120, 150];2023;September;;
turno masajista - Laureano Oliver 1040;13/9/2023 19:30;13/9/2023 20:30;60.0;Wednesday;(30, 60];2023;September;;
Save the data - Data Fest 2023;13/11/2023 15:00;13/11/2023 18:00;180.0;Monday;(150, 180];2023;November;;
Taller Values Day 2023;14/9/2023 12:45;14/9/2023 14:00;75.0;Thursday;(60, 90];2023;September;;
Steerco IFRS9 ;13/9/2023 14:00;13/9/2023 15:00;60.0;Wednesday;(30, 60];2023;September;;
Taller de Valores;14/9/2023 17:00;14/9/2023 18:00;60.0;Thursday;(30, 60];2023;September;;
Final Almacenes de Datos y Procesamiento Analítico en Línea;18/9/2023 18:30;18/9/2023 22:00;210.0;Monday;(180, 240];2023;September;;
Curso ML Intermedio;20/9/2023 13:00;20/9/2023 16:00;180.0;Wednesday;(150, 180];2023;September;;
ML Intermedio - Grupo 2 - Sesión 1;15/9/2023 13:00;15/9/2023 14:00;60.0;Friday;(30, 60];2023;September;;
Cambios FY24 - Datio;20/9/2023 18:00;20/9/2023 19:00;60.0;Wednesday;(30, 60];2023;September;;
Punto de control IFRS9;7/9/2023 12:00;7/9/2023 12:30;30.0;Thursday;(0, 30];2023;September;;
Punto de control IFRS9;7/9/2023 10:15;7/9/2023 10:45;30.0;Thursday;(0, 30];2023;September;;
Punto de control IFRS9;15/9/2023 11:30;15/9/2023 12:00;30.0;Friday;(0, 30];2023;September;;
"📢Tercera Trimestral Riesgos ""Virtual""🌼";22/9/2023 14:00;22/9/2023 15:00;60.0;Friday;(30, 60];2023;September;;
Simulacro WG;25/9/2023 17:00;25/9/2023 17:30;30.0;Monday;(0, 30];2023;September;;
Entrevista ING Poland;29/9/2023 12:00;29/9/2023 13:00;60.0;Friday;(30, 60];2023;September;;
kinesio;27/9/2023 21:00;27/9/2023 22:00;60.0;Wednesday;(30, 60];2023;September;;
ML Intermedio - Grupo 2 - Sesión 2;28/9/2023 13:00;28/9/2023 14:00;60.0;Thursday;(30, 60];2023;September;;
[Simulador] [AR] Task force de implantación;14/9/2023 16:30;14/9/2023 17:00;30.0;Thursday;(0, 30];2023;September;;
[Simulador] [AR] Task force de implantación;14/9/2023 16:30;14/9/2023 17:00;30.0;Thursday;(0, 30];2023;September;;
[Simulador] [AR] Task force de implantación;21/9/2023 15:30;21/9/2023 16:00;30.0;Thursday;(0, 30];2023;September;;
[Simulador] [AR] Task force de implantación;21/9/2023 16:30;21/9/2023 17:00;30.0;Thursday;(0, 30];2023;September;;
WG IFRS9 [ARG] : cambios metodológicos e impactos;28/9/2023 15:00;28/9/2023 16:00;60.0;Thursday;(30, 60];2023;September;;
Conclusiones Transfer Logic;2/10/2023 18:15;2/10/2023 19:15;60.0;Monday;(30, 60];2023;October;;
[Simulador] [AR] Task force de implantación;28/9/2023 16:30;28/9/2023 17:00;30.0;Thursday;(0, 30];2023;September;;
[Simulador] [AR] Task force de implantación;5/10/2023 16:30;5/10/2023 17:00;30.0;Thursday;(0, 30];2023;October;;
curso blockchain;10/10/2023 17:30;10/10/2023 19:00;90.0;Tuesday;(60, 90];2023;October;;
Reunión Equipo Analytics +DQTeam;25/9/2023 18:00;25/9/2023 18:30;30.0;Monday;(0, 30];2023;September;;
Manual Expected Loss;4/10/2023 18:00;4/10/2023 19:00;60.0;Wednesday;(30, 60];2023;October;;
ML Intermedio - Grupo 2 - Sesión 3;5/10/2023 13:00;5/10/2023 14:00;60.0;Thursday;(30, 60];2023;October;;
 All Hands Control Interno y Cumplimiento / Formación: Taller de Salud Emocional;6/9/2023 13:00;6/9/2023 16:00;180.0;Wednesday;(150, 180];2023;September;;
Planning AVAI;1/9/2023 11:00;1/9/2023 11:30;30.0;Friday;(0, 30];2023;September;;
Planning AVAI;1/9/2023 11:00;1/9/2023 11:30;30.0;Friday;(0, 30];2023;September;;
Planning AVAI;15/9/2023 11:00;15/9/2023 11:30;30.0;Friday;(0, 30];2023;September;;
Planning AVAI;15/9/2023 11:00;15/9/2023 11:30;30.0;Friday;(0, 30];2023;September;;
Almuerzo Data & Analytics;11/10/2023 16:00;11/10/2023 18:00;120.0;Wednesday;(90, 120];2023;October;;
Tablón IFRS9;9/10/2023 18:00;9/10/2023 18:30;30.0;Monday;(0, 30];2023;October;;
Consultas Observaciones VI - Decaimiento / PD AC;9/10/2023 17:30;9/10/2023 18:00;30.0;Monday;(0, 30];2023;October;;
